song_id,cleaned_lyrics
01 Starts Right Here (feat. Kenny Mason),and if you wanna be a god its a long way push up and step unin a means i cant look on god and energy aint no regrets its him or me blast them away oh yeah push me in gauging come back aint really no comeback from that angelic slum rest cant forget the cash where the funds at cant win this way i got a war pack you see this one its my one i tried to win you and your pack so if i started you was your band
"01 Take Over (feat. Jeremy McKinnon,",now you come in at the king so you better not admit and we only get stronger everything i carry up on my back you sh
"01 Take Over (feat. Jeremy McKinnon,",paint it up with a target run it up why would you dare me to do it again come and get your sport out of it were taking over were taking over look at your coming im aiming you are the nobody were taking over were taking over hey maybe you want to do what you feel just gonna be but i got it all locked up
"01 Take Over (feat. Jeremy McKinnon,",why would you dare me to do it again come on get your sport out of the head lets take it over
"01 Take Over (feat. Jeremy McKinnon,",were taking over hey look at your coming my name you are the nobody now were taking over hey maybe you wont do what you do just to me but i got it all locked up in the end were killing each other
"01 Take Over (feat. Jeremy McKinnon,",i got the heart of a lion i know the heart of you climb the heart of you fall im at the top of the mountain i have to weather the storm to get to the level among thats how the legend is born all of my enemies already dead im born a brave before they know im ready for war i told them were taking over were taking over look at you im in my name you are in no part now were taking over
01 _Slut!_ (Taylor's Version) [From,insert using an a called alzf all i need is you god loves struck when straight to my head god loves sick all over my bed love to think youll never forget
01 _Slut!_ (Taylor's Version) [From,and prince and wetson head i dont want to smoke on my clothes love lord and nobody knows love lord are over the strokes ill pay the price you want but if im all dressed up they might as well be looking at us if they call me a slave you know what id be waiting for if im gonna be drunk my names waltry drunk and i send the code hes waiting better
01 _Slut!_ (Taylor's Version) [From,sticks and storms they throw foes mid air everyone knocks him that was my client but one place at the right time and a breakdown then hes pulling me in a world of boys hes a gentleman god loves truck when straight to mine hes a man god loves sick all over my home love to think youll never forget will pay the price i get but if im all dressed up im all dressed up they might as well be looking at us i have to call me a slave call me
01 _Slut!_ (Taylor's Version) [From,you know what i feel with you forever if im gonna be drunk im mines probably drunk in love i sleep ticking your time in the tent you read me all like this is love you read youre not staying youre in love with me but youre going to have a way ticking your jeans its too big i said in my clothing your pretty face im not staying to it i do it right but youre going to have a way
01. Playground (from the series Arcane League of Legends),i welcome to the playground follow me
01. Playground (from the series Arcane League of Legends),oh me oh night man is in fantasy sinking to the waist man and underneath stay for the night ill show you a dream welcome to the play man what brings you to the lost and found it wont you pull out
01. Playground (from the series Arcane League of Legends),ill be saved everybody got a prize round here to play make me an author what would be oh what would be welcome to the playground follow me tell me your nightmares and fantasies sinking to the waste and on
01. Playground (from the series Arcane League of Legends),and me stay for the night ill show you a dream welcome to the clinic oh welcome to the clinic
01. Playground (from the series Arcane League of Legends),love welcome to the playground oh welcome to the playground
02. Our Love (from the series Arcane League of Legends),five and words gonna run shes just fine so i dont worry my head cause i know
02. Our Love (from the series Arcane League of Legends),the heart is tied to mine the life that we live and the love that i give to her its day grows more and more im sure its sure where is our bond in fountain that flows into a sea deep within in ocean for eternity
02. Our Love (from the series Arcane League of Legends),im not too old like something i pray i know will always stay pure while the world doesnt run he holds me down for sure oh i love heres a bump and bounce and youre a blow unto when i see you and deeper than any ocean no for eternity
02. Our Love (from the series Arcane League of Legends),and your heart will turn to you but i keep moving on running strong with you and your heart will turn to you and your heart will turn to you
02. Our Love (from the series Arcane League of Legends),the flows into the sea lohm and two thousand deep within any ocean for eternity lohm and two thousand lohm and two thousand
03. Goodbye (from the series Arcane League of Legends),i can hear the sound of a heartbeat before it goes out i wont ever leave my memory with bloodshed all around i can see it to you on my finest face before it falls out or way in me how could i have ever let you down when all these traces high as gold cut our teeth and make our bones
03. Goodbye (from the series Arcane League of Legends),i just brought you here we play with shields made of stone share our dreams and sit our thrones busy cause i see smoke overhead and i can still hear my hands were here we turn like warriors i swear to find glory overhead tell me where is my home
03. Goodbye (from the series Arcane League of Legends),i dont recognize the faces anymore no where is my friend when ive known since i was only just a kid i think its time to say goodbye goodbye goodbye goodbye goodbye oh its time to say goodbye goodbye goodbye
03. Goodbye (from the series Arcane League of Legends),oh its time to say goodbye goodbye goodbye goodbye oh its time to say goodbye goodbye goodbye goodbye oh its time to say goodbye goodbye goodbye goodbye oh its time to say goodbye
03. Goodbye (from the series Arcane League of Legends),goodbye goodbye goodbye goodbye oh its time to say goodbye goodbye goodbye goodbye goodbye goodbye goodbye
04 Running Up That Hill (A Deal with,anc yeah you wanna feel how it feels yeah yeah yeah yeah you wanna know that it doesnt hurt me yeah yeah yeah yeah you wanna hear about the dealer name
04 Running Up That Hill (A Deal with,and he gave you its you and me holy god and make a deal with god and i get out of the swamp the light says be running up that road be running up that hill be running up that building see a falling cold oh oh oh oh oh oh
04 Running Up That Hill (A Deal with,you dont wanna hurt me yeah yeah yeah but see how deep in the world lies yeah yeah yeah yeah on the way terry you were suddenly yeah yeah yeah you oh there is a thunder in our hearts yeah yeah yeah yeah is there so much heat that i want to love yeah yeah yeah yeah oh tell me were both mad and dont we yeah yeah yeah you you its you and me yeah yeah yeah yeah its you and me yeah yeah yeah yeah
04 Running Up That Hill (A Deal with,im being holy god i make a deal with god and i cant just walk holy says be running on the road be running on that hill be running on that hill that hill that hill that hill that hill see fully cold im going to get you im going to get you im going to get you
04 Running Up That Hill (A Deal with,its you and me youre beyond happy come on baby come darling let me steal this moment from you now come on angel come on come on darling thats exchange the experience
04 Running Up That Hill (A Deal with,if im only good i make a deal with god and i guess im not what he says and be running on that road be running on that road with no one wrong to let it if im only good i make a deal with god and i guess im not what he says and be running on that road be running on that road with no one wrong to let it so run on that road i make a deal with god and i guess im not what he says
04 Running Up That Hill (A Deal with,we dont work on the games small playstands we run on the road we run on that hill with no problems so easily grew we run on that hill with no problems so easily grew we run on that hill
04. Dirty Little Animals (from the series Arcane League of Legends),im a tasteful of fervent grace one of tasteful of fervent grace run away from the phrase but its free of simply one of taste im a fan i wanna miss the random im gonna take you down down down one side and turn such a lovely way to burn burn burn i never felt like this before i think i might just want some more i never felt like this before i think i might just i keep on that i wanna ride dont get back you feel it like i cant bear that you feel it it it it it it i cant move then you feel it like still a little bit
04. Dirty Little Animals (from the series Arcane League of Legends),let them feel out they cant spend them they should good good youre leaving me behind im forced to be free and i cant take it it makes your blood run hard it makes your spit taste free it makes you feel more alive than you have ever been to you now youre just up between your dreams but why would you die up there when you can never get meat diet all the holes astro
04. Dirty Little Animals (from the series Arcane League of Legends),
04. Dirty Little Animals (from the series Arcane League of Legends),butter king never saying give it a look good luck but when you go under you wont you never go back up butter king never saying never going up because when you go under you never going back up got butter king never saying never going up cause you aint me cause im really living out for the girls i got hey what you say you wanna find the place to play hey hey what you say you wanna find the place to play slay it you get f
04. Dirty Little Animals (from the series Arcane League of Legends),youre dead you wanna die dont get back give me a life dont come back you feel good good good i dont come up you feel bad youre a little better you feel bad i cant explain that im leaving you should you do it i dont wanna die you should give me a life dont get back you feel bad come back you feel good dont come up you feel bad opinalctor can catch you charming foot
05. Enemy feat. J.I.D. (from the series Arcane League of Legends),im searching to be home the stories that i told when my back is to the world that was smiling when i turned tell you youre the greatest but once you turn the haze oh the misery everybody wants to be my enemy
05. Enemy feat. J.I.D. (from the series Arcane League of Legends),everybody wants to be my enemy who cant be yourself my enemy who cant be yourself but im ready youre words up on the wall is he praying for my phone and the laughter in the holes and the names that ive been told i stock it in my mind and im waiting for the time when i show you what its like to be words fit in my mind tell you all the grace but once you turn me hey
05. Enemy feat. J.I.D. (from the series Arcane League of Legends),everybody wants to be my enemy swear the sympathy everybody wants to be my enemy im a dancer my enemy im a dancer my enemy im a dancer look okay im hoping that somebody prayed for me im praying that somebody hoped for me im standing when nobody posed to be im a poster being a wreck of emotions ready to go whenever you let me know the road is long so put the balance of the flow the enemy on my trail my energy on a veilable ima tell them i said i way go hang on a plow
05. Enemy feat. J.I.D. (from the series Arcane League of Legends),im gonna try to the top ive been out of shape thinking about the box on my national now ive blessed off the planet right the cause cat is dropping and that matters more because i had it and i had a thought about wreaking havoc on an opposition kind of shocking and i want to stand in with position im automatically the backhain talking secondpacking packing up on panic better better up who the better sit on medicals we should everybody wants to be my enemy im spare to sympathy everybody wants to be my enemy im all the misery everybody wants to be my enemy im spare to sympathy everybody wants to be my enemy im swear ill never be a
06. Guns for Hire (from the series Arcane League of Legends),hold the die your turn to roll before they fall through your fingers not a good night to lose control right as the earth things that roughly you play with your blocks until they break in these walls
06. Guns for Hire (from the series Arcane League of Legends),some time will end oh theyre coming down youre out of time make your move leave a dime while the fuse is lit and theres no turning back hes your perfect day goodbye the color of the wind is all over you
06. Guns for Hire (from the series Arcane League of Legends),la curina semsa da gisoo la premsa ca scria la curina be la curina be la curina be la curina be la curina be la curina be la curina be la curina be
06. Guns for Hire (from the series Arcane League of Legends),wresting on the knife you have yourselves with all this weight buckling down on now dont you drown and float away not a good time to lose control ride as your name real nests cant compare strings and run away ride a time make your move live a diwile of uses late and theres no judge
06. Guns for Hire (from the series Arcane League of Legends),open your lungs and now youre waiting
07. Misfit Toys (from the series Arcane League of Legends),i do it i do it i do it i do it i do it i do it i do it i do it i do it i do it i do it i do it i do it i do it i do it i do it i declare war on anybody standing in the way of what i dreamed for how could you ignore the ones that are voiceless screen from the pool they only hit a score i do it for the underground kings that dont need more im kicking down your door if i wonder why you got a pocket full of green food its all about the give back its all the give back while the politicians kick back they say im only brick rap well thats the foundation of this moment that i live at i can get you to
07. Misfit Toys (from the series Arcane League of Legends),these kids aint playing with you acting like you live rap and all those little miss ass that only happen to you miss it so im here to fix that yeah turn the table youre crazy make you know it all for this i told you not to play with the miss fit boys we got this game getting sick your noise use the radio with the play what you miss drips get richer while the poor pick pocket swipes max weld to the cops come knocking have or have not being broke is not an option time after time when you gotta think for watches when you the plug in the socket
07. Misfit Toys (from the series Arcane League of Legends),how is that beat cant stop me four obnoxious borderline toxic vosides go to war like a mushroom now let me switch up the optics how neighborhood tell the hostage some nights we slept in our closet gunn fights with outside the projects so you cant blame me for nonsense im here to collect deposits all else to fight the logic my people need me beside them now some to take up your grade with your loyal voice i told you not to play with the misfit voice reriding this game get in sick yo
07. Misfit Toys (from the series Arcane League of Legends),your noise you tell me youre in the back but you miss it toys dont play with the misfits dont play with the misfits dont play with the misfits dont play with the misfits i told you dont play with the misfits must be deaf dumb and blind you a triplet dont you make me a racial existence all by my lonely need no assistance any disrespect gets met with the vengeance burned down gossip and hidden agendas we set the tone for all to remember you rewrite history the greatest pretenders you rewrite history the greatest pretenders talk to you youre a great makeyou
08. Dynasties and Dystopia (from the series Arcane League of Legends),im a white diamond so me and the sky you were sweater suns on im a white diamond so me and the sky you were sweater suns on in this gothic underground city we all sit if i bring a couple rounds with me then we all win i came back and brought the crown with me the kings cant break your necks and youll lick us everybodys all yours just like this like kick your buckle run up up up down and paint mine
08. Dynasties and Dystopia (from the series Arcane League of Legends),never learn to raise my hand whats too busy raising him everything i know i am you should go and save yourself thought you had my number huh congratulations play yourself under ground you told me your dynasties and your stompies your fear was never in im shits all done its not a real foe be your own being the odds whys it that every occasion thats never defeated the gods switch up the mind nothing much of a jump against coming im rolling up one of those spots hodes filled for light back uh talk back to lights not back uh disembrowed this that dark black this not pitch black check black snap your ex watch me give this black first just rise and fast its lightning they cant stop it now if you aint talking real now
08. Dynasties and Dystopia (from the series Arcane League of Legends),theyre laughing at the top like they cant see the bottle and they gonna need it no but i got here without them i am shocked within the pack of hundreds of blaze when they smoke please out of here but they never fade ima be it do it me do it me my way they said i should change it up what did i see oh yeah you mad im racin up white diamonds dont be in the sky you a sweater sunshine oh yeah you mad im racin up white diamonds dont be in the sky you a sweater sunshine oh chill put my back there talk back till i stop back this aint brown this time
08. Dynasties and Dystopia (from the series Arcane League of Legends),that dark black is not this black check black snap your ex watch me give him flashbacks i get that magic all on me i feel like im chasing my brain enemys so golden theyre roaming i come on my aim ive been a quote with the spirit be so me since i was a baby cause gain k got it got me me a brother for cause in the case right here where his cop that gunned the ground sit here we all sit yeah my brain got couple rounds with me then we yall win i came back and brought that crown with me the kings tin break your neck lets say your neck cause everybodys on your head ooh yeah you mad im back in the white diamonds dont be in the sky you were squirre sunshine im in the blue yeah you mad im back in the white diamonds dont be in the sky
09. Snakes (from the series Arcane League of Legends),
09. Snakes (from the series Arcane League of Legends),ah why you feel no pain ah cant you see my pain cant i say i know i say trust my heart is feeling in me my heart is in pain i get your heart my heart is in it my heart is in pain i got magic if i see your face dont make up ill give it cut it discussion watch your sorry production basket shit and corruption we need to take that to touch it no the chromic you need it i forget i forget it dont you take it its for sale
09. Snakes (from the series Arcane League of Legends),i swear i can give again im a real a real a real this is my life this is my life why are you still on shame im a real a real a real im a fake im not a fake trust im like a spirit in it make a heart and face make a total of the city make a known state got measures and ill say a fake no thing i want you there
09. Snakes (from the series Arcane League of Legends),
10. When Everything Went Wrong (from the series Arcane League of Legends),sound design exemplary theme thats where it is the way it moves ill take a house of doubt come eat now and thats where it is
10. When Everything Went Wrong (from the series Arcane League of Legends),oh they were headbown nine and nine ways that youre willing to die breaking my mind that youre starting to cry broken beer bottles that have stuck the fly no my time is coming soon so before cool im living a room keeping all doors in the show with you turn yourself a fan and i start with you my mind no my time is coming soon yes baby they were headbown no they were headbown yes baby they were headbown they were headbown im headbown shut down dont be alone dont be lonely they were headbown
10. When Everything Went Wrong (from the series Arcane League of Legends),you you you oh what a sweet they were they were they were they were everything i knew was i knew they were they were they were and im so done the devils coming after me the devils coming after me the devils coming after me and im gonna name it
10. When Everything Went Wrong (from the series Arcane League of Legends),
11. What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),i am the monster you created you ripped out all my parts and worst of all for me to live i got to kill the part of me that saw and i needed you more i hope you know we had it
11. What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),everything and your book man left these pieces i want you to hurt like you hurt me the dance i want you to lose like i lose when i play what could have been what could have been
11. What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),i dont you love who i am what we could have knew i am your ghost the fallen angel you ripped out all my parts i couldnt care what invention you made me cause i was meant to be yours
11. What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),i hope you love me and everything
11. What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),you broke me and left this piece it i want you to hold it like a hurt with a damn i want you to lose like a loose willow plant i want you to hold it like a hurt with a damn i want you to lose
14 - twenty one pilots - Drag Path,you found me cause then ill know youre also there cause proof is in the opposite you found me a drag bath etched in the surface ive evidence i left there on purpose a satire laying on the surface can you find me
14 - twenty one pilots - Drag Path,i dug my heels into the gravel as evidence for you to unravel a dry path etched in the surface can you find me what you do please please
14 - twenty one pilots - Drag Path,what you do please please i pray i pray
14 - twenty one pilots - Drag Path,can you can you can you control and steer the surface at ever death im left coupe wolret with a st laying on the surface you dont need a friend you dont find me i dont love my he holds into the ground for as ive been asked for you
14 - twenty one pilots - Drag Path,painting the branches at the de moving bar it shouldnt either one foot or chamber step buenos aires you need to be the same you need to find me you need to find me you need to be the one to find me
14 - twenty one pilots - Drag Path,when i see the devils eyes a current travels down my spine he found me seems as though ive lost again a story told at nauseam he found me
14 - twenty one pilots - Drag Path,maybe once or twice or three hes tried his hand at drowning me but im still on fire at least im pretty sure when i see the devils eyes ill look away and smile wide
16 Choose Your Fighter,you can be a lover or fighter whatever you desire life is like a runway and youre the designer wings of a butterfly eyes of a tiger whatever you want baby choose your fighter i know this world can be a little confused in a walk in the park but i can help you solve the riddle youll perfect as you are if you want to break out of the box run a call on the shots if you want to be a swivel be soft then go up if you want to go six inch flat run away hop pink and black
16 Choose Your Fighter,i dont know about it tell you you cant but you cant you can be a lover or a fighter whatever you desire life is like a runaway and youre the designer wings of a butterfly eyes of a tiger whatever you want baby choose your fighter choose your fighter oh pre a shot in diamonds oh beauty queen and camera flies its giving me
16 Choose Your Fighter,im burning like this i wanna give it all you got if you wanna break out of the box wanna come on the shot if you wanna be sweet ill be soft then go up if you wanna go see since youre flat run away hop in go back dont let nobody tell you you can if you can you can be a lover or a fighter whatever you desire life is like a runaway and youre the designer when youre the butterfly whatever you want baby choose your fighter choose your fighter
2WEI_Burn,you can try to break me i could like teeth on people like you its gonna take a lot more to take me down im a step ahead watch me wear my crown dont need a knife to cut the cave you can count the dragons that i slay you can give it all you got cause love is running through my veins all this line can be tamed thats fine
2WEI_Burn,i am my blood i cant bond the citys head i have to push you on the ground ill break this heart break this body ill break it ill break it
2WEI_Burn,im from hollywood dont down dont down dont down dont down im a friend now i never learned to lose your friend i never felt id have to end here no you better run oh everything just mine dont even lie to death the care when i count the dragons that ive slayed you can get it all youve had cause whats wrong with full of things this life wont be changed
2WEI_Burn,theres fire in my blood theres fire in my blood theres fire in my blood theres fire in my blood theres fire in my blood
2WEI_Survivor,oooooooooooo thought i couldnt breathe without you how then hanging thought i couldnt see no to perfect vision thought i couldnt last without you but im lost in thought that i would tell you the lord but im living thought that i would say you would know but im on top i thought you would be awful tonight
2WEI_Survivor,but it wont stop forget our selfdestruct but im still here even in my years to come still wont be here im a survivor im not gonna give her im not gonna stop her im gonna find her
2WEI_Survivor,oh
2WEI_Survivor,oh im a survivor im not gonna give up im not gonna stop im gonna work harder im the survivor im gonna make it i will survive im gonna keep on surviving im a survivor im not gonna give up im not gonna stop im gonna work harder im the survivor im gonna make it i will survive
2WEI_Toxic,i need a hand baby give me a hand youre taking your hands im loving it
2WEI_Toxic,to enjoy chess
2WEI_Toxic,im a dead soul dead soul im a dead soul dead soul dead soul dead soul to hell cant get down whens it my hands aint in that game right
2WEI_Toxic,me de me ad g informative exclusive drone re cantonese re cantonese in me ass re me re re te te var to r te rem what to take curlin ral integer toner memorizing
2WEI_Toxic,today la frititi touchin on touchin on touchin on touchin on touchin on touchin on touchin on touchin on touchin touchin on touchin on
2WORLDS -- Madge x VALORANT - Official Audio (64 kbps),im not running around the gamut but i could never plan it i keep on bringing it on the planet i keep on bringing it on the planet you do give me a piece of your heart
2WORLDS -- Madge x VALORANT - Official Audio (64 kbps),when you run you run again but you could never buy it you keep on breathing when youre in it hey you
2WORLDS -- Madge x VALORANT - Official Audio (64 kbps),give me a piece of your heart it keeps is it where we are brought to make it be nothing maybe its something cant help but sleep give me a piece of your heart give me a piece of your heart it keeps is it where you are brought to give me a piece of your heart it keeps is it where we are brought to give me a piece
347aidan - Dancing in My Room,im dancing in my room swaying my feet trying to get you lower and the kids are on the cheap calling can you skies like im stuck in a dream they love it feeling blue youre the one that i need dancing in my room swaying my feet trying to get you lower and the kids are on the cheap
347aidan - Dancing in My Room,quiet candy skies like im stuck in the dream and ive been feeling blue and youre the one that i need and there we are you can be reasons just to fight all of my demons yeah i love it when you speak it cause you silence all my feelings i feel it now im not okay in everyone im on my way in the movie and my room i dont forget a nighty day on shipments to lemonade i want it youll never change but yeah i dont even care maybe just go wrong my way
347aidan - Dancing in My Room,placing tomorrow swaying my feet trying to get you love and a kiss on your cheek calling candy skies like im stuck in a dream and ive been feeling blue youre the one that i need dancing in my room swaying my feet trying to get you love and a kiss on your cheek calling candy skies night comes stuck in a dream and ive been feeling blue youre the one that i need dancing in my room swaying my feet trying to get you love and a kiss on your cheek
347aidan - Dancing in My Room,quiet candy skies like im stuck in a dream and i been feeling blue youre the one that i need the shoes are very pretty girl they know very shitty words she got records on the wall and an necklace made up of shes dangerous on my nightmares taxes to my nightmares i will run down to start off right there and ill get you in the heart room so youre my friend trying to get me in the middle of a case or a dream quiet candy skies like im stuck in a dream and i been feeling blue youre the one that i need
A Little Wicked -- Valerie Broussard,im a wicked thats what he calls me cause thats what i am thats what i am no one calls you honey when youre sitting on a throne no one calls you honey when youre sitting on a throne no where the patient woman cause this much i know no one calls you honey when youre sitting on a throne
A Little Wicked -- Valerie Broussard,these days are coming im gonna take that boys crown theres a cinnamon these still waters lying deep down to that king i will bow out at least for now one of these days are coming im gonna take that boys crown cause i am im gonna wait i am i am i am i am
A Little Wicked -- Valerie Broussard,im afraid futures like a dead eye a little weekend no one calls you honey when you sing all the flow ill be high up in that tower hell be down there getting stoned the weather patient woman cause this is what i know no one calls you honey when you sing all the flow
A Little Wicked -- Valerie Broussard,
A Little Wicked -- Valerie Broussard,youre so too late its so too late cause i am i am a little wicked i am youre so hands up hands up just like you said i am a little wicked cause you honey when youre sitting on a phone someone calls you
ABBA_Money_Money_Money,i work all night i work all day to pay the bills i have to pay hey need said still there never seems to be a single penny elect for me thats you there in my dreams i have a plan if i got me a wealthy man i wouldnt have worked all night
ABBA_Money_Money_Money,money money money must be funny in the rich mans world money money always on it in the rich mans world ahha all the things i could do if i had a little money its a rich mans world its a rich mans world
ABBA_Money_Money_Money,a man like that is hard to find but i do get enough of my mind amy said and if he happens to be free i bet he wont fancy me thats too bad so i must leave ill have to go to las vegas or monaco and were not fortunate in the game my life will never be the same money money money must be funny
ABBA_Money_Money_Money,in the rich mans world money money money always a name in the rich mans world aha all the things i could do if i had a little money its a rich mans world money money money must be funny in the rich mans world money money money always a name
Achilles Heel - J. Maya,i swear on my life and the rivet sticks i never thought itd be you i missed im dangling violating cause im way cold life seems to be pushing that rock of hill or echo falling for a daft of thin you look like a siren to the shore
Achilles Heel - J. Maya,now i cant keep this love cause it always hurts too much i keep crumbling i keep thumbling cause youll become my crush loving yous my achilles yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah i just feel in the walk on these windows i wanna kill this achilles yeah i do wanna meet no strings attached i guess i have the face to think but that cant be it cause cause baby youre my size
Achilles Heel - J. Maya,but now im turning to stone looking in your eyes cause you look cool only at the time a teen id be jealous of the way you spun like i listen to much i feel cursed under this love faced with those neck delipses and embossed lips or youll be caught by drugs love me is like a kid youll throw my cow at you with me i cant deal i just feel you walk on me sending me
Achilles Heel - J. Maya,i wanna kill this a kill you deal kill this a kill you deal dont wanna have to heal kill this a kill you deal i dont wanna have to heal now its time to bring the cry of play a game in stream the light but im like for me this is finally taking back my fire your horse is in the gate again but this time i wont let it in im closing up and door as box escaping from the cyber
Achilles Heel - J. Maya,im all i came back like a fairs labor like im ever clearest youre losing your golden touch ill end this part like my names paris ive been used by your kids youre you youre you youre a drama guy when youre with me i cant do you i just aint wanna walk on these things in the woods i wanna kill this a kennedy of it youre the security of it dont ask me
